ID,loan_purpose,borrower_employment_length,borrower_age,borrower_home_ownership,borrower_income,loan_rating,loan_amount,loan_rate,loan_status,loan_to_income_percent,cb_person_default_on_file,cb_person_cred_hist_length,rem_term
30117,EDUCATION,0,36,RENT,14400,E,5500,17.56,1,0.38,N,11,36
30118,DEBTCONSOLIDATION,6,37,MORTGAGE,40680,D,8000,15.21,1,0.2,N,13,36
30119,MEDICAL,1,41,RENT,21000,A,5500,5.79,0,0.26,N,14,36
30120,EDUCATION,2,37,MORTGAGE,46996,C,13750,13.98,0,0.29,N,13,36
30121,MEDICAL,4,37,RENT,27000,B,5500,15.27,0,0.2,N,12,36
30122,DEBTCONSOLIDATION,19,41,MORTGAGE,47000,A,7200,7.51,0,0.15,N,16,36
30123,EDUCATION,0,37,RENT,28800,A,5500,6.03,0,0.19,N,15,36
30124,EDUCATION,0,36,RENT,30000,A,5500,8.9,0,0.18,N,11,60
30125,PERSONAL,9,47,MORTGAGE,47000,A,7500,6.62,0,0.16,N,12,60
30126,MEDICAL,4,40,RENT,30000,D,5500,14.74,0,0.18,N,12,60
30127,PERSONAL,2,36,RENT,30996,C,5500,12.53,0,0.18,Y,15,36
30128,DEBTCONSOLIDATION,5,38,MORTGAGE,47000,A,11000,8.9,0,0.23,N,16,36
30129,MEDICAL,5,36,RENT,34000,C,5500,12.29,0,0.16,N,17,36
30130,MEDICAL,1,43,RENT,48000,C,5500,12.61,0,0.11,N,17,36
30131,PERSONAL,5,39,RENT,50000,A,5500,6.54,0,0.11,N,13,60
30132,EDUCATION,5,41,MORTGAGE,47000,B,7500,11.12,0,0.16,N,13,36
30133,DEBTCONSOLIDATION,2,36,RENT,50000,A,5500,8.32,0,0.11,N,16,36
30134,PERSONAL,5,46,MORTGAGE,47000,A,6000,7.14,0,0.13,N,15,36
30135,VENTURE,2,43,OWN,47000,A,10000,7.88,0,0.21,N,16,36
30136,PERSONAL,4,37,MORTGAGE,47000,A,7000,6.91,0,0.15,N,11,36
30137,EDUCATION,0,36,MORTGAGE,47000,A,5500,7.14,0,0.12,N,16,36
30138,PERSONAL,2,41,OWN,47000,A,14000,7.88,0,0.3,N,12,60
30139,VENTURE,2,37,RENT,54000,C,5500,13.23,1,0.1,Y,12,36
30140,PERSONAL,2,46,RENT,60070,C,5500,14.22,0,0.09,Y,17,60
30141,MEDICAL,4,44,RENT,63000,A,5500,7.51,0,0.09,N,13,36
30142,EDUCATION,5,37,RENT,79600,A,5500,7.88,0,0.07,N,11,36
30143,VENTURE,0,38,RENT,170000,A,5500,15.27,0,0.03,N,13,36
30144,DEBTCONSOLIDATION,5,39,MORTGAGE,47471,A,5000,7.51,0,0.11,N,14,36
30145,DEBTCONSOLIDATION,8,36,MORTGAGE,47500,A,2700,5.79,0,0.06,N,14,36
30146,EDUCATION,0,38,RENT,30000,B,5600,9.99,1,0.19,N,15,60
30147,PERSONAL,0,38,RENT,35000,B,5600,11.11,0,0.16,N,11,36
30148,MEDICAL,2,40,RENT,38004,B,5600,11.58,0,0.15,N,17,36
30149,VENTURE,16,46,OWN,47844,A,27175,8.49,0,0.57,N,13,36
30150,HOMEIMPROVEMENT,4,37,MORTGAGE,48000,A,7000,7.9,0,0.15,N,15,60
30151,EDUCATION,3,42,RENT,52800,B,5600,10.99,0,0.11,N,14,36
30152,HOMEIMPROVEMENT,9,38,MORTGAGE,48000,B,7800,10.65,0,0.16,N,12,36
30153,PERSONAL,8,37,OWN,48000,A,2500,6.03,0,0.05,N,11,36
30154,VENTURE,6,36,MORTGAGE,48000,A,1500,8.9,0,0.03,N,16,36
30155,HOMEIMPROVEMENT,3,38,MORTGAGE,48000,B,5000,10.65,0,0.1,N,16,36
30156,EDUCATION,0,45,RENT,73000,C,5600,15.27,1,0.08,N,11,36
30157,VENTURE,2,43,MORTGAGE,48000,A,10400,5.99,0,0.22,N,17,36
30158,VENTURE,0,41,RENT,137004,A,5600,8.59,0,0.04,N,11,60
30159,MEDICAL,1,36,RENT,39996,A,5700,7.29,0,0.14,N,13,36
30160,MEDICAL,4,38,RENT,34000,B,5750,8.49,0,0.17,N,16,36
30161,DEBTCONSOLIDATION,9,44,MORTGAGE,48000,B,5000,9.99,0,0.1,N,15,36
30162,VENTURE,3,42,RENT,85000,C,5750,12.99,0,0.07,Y,15,60
30163,DEBTCONSOLIDATION,,39,MORTGAGE,48000,A,3000,5.42,0,0.06,N,11,36
30164,MEDICAL,7,48,RENT,39000,D,5800,14.54,1,0.15,N,15,60
30165,PERSONAL,1,38,MORTGAGE,48000,A,18000,8.49,0,0.38,N,11,60
30166,PERSONAL,6,38,MORTGAGE,48000,A,6200,7.29,0,0.13,N,14,36
30167,PERSONAL,14,39,RENT,23500,D,5850,15.2,0,0.25,N,12,36
30168,MEDICAL,6,48,RENT,44000,B,5850,9.99,0,0.13,N,13,60
30169,VENTURE,7,43,MORTGAGE,48000,A,4500,5.42,0,0.09,N,14,36
30170,DEBTCONSOLIDATION,0,44,RENT,119000,A,5900,6.17,0,0.05,N,14,36
30171,PERSONAL,3,38,RENT,35427,C,5950,11.72,0,0.17,Y,11,60
30172,MEDICAL,26,42,MORTGAGE,48000,A,6500,7.29,0,0.14,N,11,36
30173,DEBTCONSOLIDATION,,37,MORTGAGE,42000,A,3000,6.17,1,0.07,N,13,36
30174,VENTURE,0,38,RENT,18720,D,6000,15.99,1,0.32,N,12,36
30175,MEDICAL,3,39,RENT,20400,C,6000,15.27,0,0.29,Y,13,36
30176,HOMEIMPROVEMENT,2,40,MORTGAGE,48000,D,8000,15.95,0,0.17,N,11,36
30177,HOMEIMPROVEMENT,3,37,MORTGAGE,48000,A,3500,7.88,0,0.07,N,15,60
30178,PERSONAL,0,42,OWN,48000,C,3500,14.35,0,0.07,N,12,60
30179,VENTURE,,38,OWN,48000,A,7600,7.88,0,0.16,N,11,36
30180,MEDICAL,5,37,RENT,24000,B,6000,11.49,0,0.25,N,17,36
30181,MEDICAL,13,47,MORTGAGE,48000,B,16750,10.62,0,0.35,N,12,36
30182,DEBTCONSOLIDATION,0,38,RENT,25200,D,6000,14.59,1,0.24,N,12,36
30183,DEBTCONSOLIDATION,3,48,MORTGAGE,42000,C,14400,12.87,1,0.34,Y,17,36
30184,VENTURE,2,37,RENT,27052,B,6000,10.37,0,0.22,N,12,60
30185,DEBTCONSOLIDATION,12,44,MORTGAGE,48000,B,17500,12.18,0,0.36,N,15,36
30186,HOMEIMPROVEMENT,8,45,MORTGAGE,48000,A,8000,9.63,0,0.17,N,13,36
30187,EDUCATION,2,36,RENT,28800,C,6000,15.96,0,0.21,Y,12,60
30188,VENTURE,17,36,MORTGAGE,48000,A,10000,9.63,0,0.21,N,14,36
30189,DEBTCONSOLIDATION,0,48,RENT,30000,B,6000,12.42,1,0.2,N,12,36
30190,PERSONAL,0,46,MORTGAGE,48000,A,9600,13.49,0,0.2,N,17,60
30191,PERSONAL,3,39,RENT,30000,B,6000,10.75,0,0.2,N,14,36
30192,MEDICAL,8,41,RENT,30840,B,6000,10.59,0,0.19,N,13,36
30193,VENTURE,7,39,OWN,48279,C,4800,13.98,0,0.1,N,13,36
30194,PERSONAL,4,37,MORTGAGE,48500,A,6000,7.88,0,0.12,N,12,36
30195,DEBTCONSOLIDATION,0,38,RENT,32000,B,6000,11.36,1,0.19,N,16,36
30196,DEBTCONSOLIDATION,0,43,RENT,33000,D,6000,15.62,1,0.18,N,14,60
30197,PERSONAL,5,39,MORTGAGE,48840,B,15000,9.88,0,0.31,N,15,36
30198,MEDICAL,19,38,RENT,34000,A,6000,7.9,0,0.18,N,11,36
30199,PERSONAL,2,36,RENT,34000,C,6000,13.57,0,0.18,N,16,60
30200,EDUCATION,6,38,MORTGAGE,48996,A,5000,7.29,0,0.1,N,12,36
30201,DEBTCONSOLIDATION,10,38,MORTGAGE,49000,B,7250,11.99,0,0.15,N,11,60
30202,PERSONAL,,36,OWN,49000,D,4200,16.02,0,0.09,Y,13,36
30203,MEDICAL,2,39,RENT,36000,A,6000,8.49,0,0.17,N,14,36
30204,MEDICAL,13,50,RENT,36000,B,6000,10.99,0,0.17,N,11,60
30205,EDUCATION,2,45,RENT,36000,C,6000,12.69,0,0.17,N,12,60
30206,VENTURE,2,44,MORTGAGE,49200,D,3600,16.29,0,0.07,Y,14,60
30207,PERSONAL,1,38,RENT,36400,C,6000,12.87,0,0.16,Y,17,60
30208,VENTURE,8,36,RENT,37008,C,6000,14.79,0,0.16,Y,14,36
30209,PERSONAL,4,37,RENT,38000,D,6000,15.33,0,0.16,Y,16,36
30210,HOMEIMPROVEMENT,5,44,MORTGAGE,49510,B,4000,10.62,0,0.08,N,14,60
30211,PERSONAL,11,43,MORTGAGE,49578,C,16000,13.49,0,0.32,Y,13,36
30212,EDUCATION,3,36,RENT,38160,C,6000,12.61,0,0.16,N,17,60
30213,HOMEIMPROVEMENT,,40,RENT,32400,A,6000,7.9,1,0.19,N,15,36
30214,PERSONAL,5,42,RENT,33564,D,6000,16.29,1,0.18,N,15,36
30215,EDUCATION,19,38,MORTGAGE,49853,D,12000,13.3,0,0.24,Y,11,60
30216,PERSONAL,4,44,RENT,39684,B,6000,7.9,0,0.15,N,15,60
30217,VENTURE,8,36,MORTGAGE,49896,A,2800,5.99,0,0.06,N,17,36
30218,HOMEIMPROVEMENT,13,36,MORTGAGE,49901,C,8400,13.61,0,0.17,Y,12,36
30219,PERSONAL,5,39,RENT,40000,D,6000,14.54,0,0.15,N,16,36
30220,PERSONAL,7,36,MORTGAGE,50000,A,5000,7.51,0,0.1,N,16,36
30221,DEBTCONSOLIDATION,3,38,RENT,41280,C,6000,13.61,0,0.15,Y,17,36
30222,MEDICAL,,44,RENT,43200,A,6000,5.42,0,0.14,N,11,60
30223,DEBTCONSOLIDATION,0,42,RENT,44000,A,6000,9.63,0,0.14,N,14,36
30224,MEDICAL,5,39,RENT,44500,A,6000,7.88,0,0.13,N,17,36
30225,PERSONAL,11,37,RENT,45000,B,6000,14.22,0,0.13,N,16,36
30226,EDUCATION,6,38,RENT,45000,B,6000,11.71,0,0.13,N,12,36
30227,DEBTCONSOLIDATION,14,36,RENT,45000,B,6000,9.99,0,0.13,N,12,36
30228,EDUCATION,0,37,RENT,45000,C,6000,12.61,0,0.13,N,17,60
30229,DEBTCONSOLIDATION,8,36,MORTGAGE,50000,A,10000,6.03,0,0.2,N,13,60
30230,EDUCATION,4,37,RENT,46000,B,6000,11.49,0,0.13,N,13,36
30231,VENTURE,15,37,MORTGAGE,50000,A,8400,6.03,0,0.17,N,11,60
30232,PERSONAL,0,37,MORTGAGE,50000,A,3200,7.51,0,0.06,N,17,36
30233,PERSONAL,13,39,RENT,46500,A,6000,6.99,0,0.13,N,11,36
30234,MEDICAL,7,38,RENT,48000,B,6000,13.92,0,0.13,N,17,36
30235,PERSONAL,1,43,RENT,48000,B,6000,11.14,0,0.13,N,13,36
30236,PERSONAL,2,39,RENT,42000,F,6000,17.58,1,0.14,N,12,36
30237,VENTURE,1,40,RENT,48000,B,6000,10.08,0,0.13,N,13,36
30238,DEBTCONSOLIDATION,8,44,MORTGAGE,50000,B,6000,11.99,0,0.12,N,17,36
30239,HOMEIMPROVEMENT,2,36,RENT,44000,E,6000,7.9,1,0.14,N,12,36
30240,EDUCATION,4,37,MORTGAGE,50000,A,2325,6.99,0,0.05,N,17,36
30241,PERSONAL,0,41,RENT,50000,B,6000,8.88,0,0.12,N,17,60
30242,PERSONAL,0,40,RENT,44000,A,6000,6.92,1,0.14,N,12,60
30243,VENTURE,0,37,RENT,44000,E,6000,17.04,1,0.14,Y,17,36
30244,MEDICAL,0,41,RENT,50000,B,6000,10.71,0,0.12,N,11,60
30245,HOMEIMPROVEMENT,2,38,RENT,50004,C,6000,13.79,0,0.12,Y,11,36
30246,HOMEIMPROVEMENT,12,43,MORTGAGE,50000,B,5000,10,0,0.1,N,16,60
30247,PERSONAL,3,47,RENT,52000,B,6000,10.99,0,0.12,N,16,36
30248,EDUCATION,0,36,RENT,52000,B,6000,9.99,0,0.12,N,12,36
30249,DEBTCONSOLIDATION,2,43,MORTGAGE,50000,B,5000,9.63,0,0.1,N,16,36
30250,PERSONAL,8,38,MORTGAGE,50000,B,10000,9.91,0,0.2,N,15,36
30251,MEDICAL,2,45,RENT,54981,A,6000,11.71,0,0.11,N,17,36
30252,EDUCATION,2,39,RENT,55000,C,6000,12.99,0,0.11,N,13,36
30253,EDUCATION,3,47,MORTGAGE,50000,C,4000,10.25,0,0.08,Y,12,36
30254,EDUCATION,2,48,RENT,49000,D,6000,14.09,1,0.12,Y,11,36
30255,MEDICAL,3,43,OWN,50000,C,5000,13.35,0,0.1,Y,12,60
30256,MEDICAL,11,43,MORTGAGE,50000,A,11500,14.27,0,0.23,N,12,60
30257,VENTURE,0,40,RENT,55182,A,6000,6.99,0,0.11,N,13,36
30258,VENTURE,2,44,MORTGAGE,44000,C,5000,12.23,1,0.11,Y,12,36
30259,EDUCATION,0,37,MORTGAGE,50000,A,20000,6.17,0,0.4,N,12,60
30260,EDUCATION,3,43,RENT,57000,B,6000,10.75,0,0.11,N,13,36
30261,VENTURE,26,42,RENT,57996,A,6000,8.59,0,0.1,N,12,36
30262,EDUCATION,2,48,RENT,59000,A,6000,5.99,0,0.1,N,12,36
30263,DEBTCONSOLIDATION,2,39,RENT,60000,C,6000,15.27,0,0.1,N,14,36
30264,HOMEIMPROVEMENT,0,38,RENT,60000,C,6000,13.57,0,0.1,Y,15,60
30265,EDUCATION,5,42,MORTGAGE,50000,B,7000,11.71,0,0.14,N,12,36
30266,VENTURE,4,38,MORTGAGE,50000,B,10000,11.86,0,0.2,N,11,60
30267,MEDICAL,6,37,MORTGAGE,50000,B,16000,8.9,0,0.32,N,12,36
30268,DEBTCONSOLIDATION,24,41,MORTGAGE,50000,A,5000,6.76,0,0.1,N,12,36
30269,VENTURE,3,36,RENT,31000,A,7100,8.9,0,0.23,N,12,36
30270,MEDICAL,2,36,MORTGAGE,50000,C,16000,13.48,0,0.32,N,15,36
30271,PERSONAL,13,36,MORTGAGE,50000,C,12250,12.73,0,0.24,N,12,60
30272,MEDICAL,4,37,RENT,24000,A,7000,6.92,0,0.29,N,14,36
30273,HOMEIMPROVEMENT,5,40,MORTGAGE,50000,D,6000,14.96,0,0.12,Y,16,36
30274,EDUCATION,1,46,RENT,65000,B,6000,12.69,0,0.09,N,13,60
30275,EDUCATION,1,40,MORTGAGE,50000,B,12000,12.84,0,0.24,N,15,60
30276,PERSONAL,8,49,MORTGAGE,50000,C,15850,14.26,0,0.32,N,17,36
30277,PERSONAL,6,38,MORTGAGE,50000,D,3000,15.05,0,0.06,N,12,36
30278,VENTURE,6,48,RENT,66000,B,6000,11.89,0,0.09,N,11,36
30279,VENTURE,8,42,RENT,66500,B,6000,10.25,0,0.09,N,15,36
30280,VENTURE,6,44,OWN,50000,C,8500,6.99,0,0.17,N,15,60
30281,DEBTCONSOLIDATION,5,38,MORTGAGE,50000,A,3000,9.62,0,0.06,N,17,36
30282,HOMEIMPROVEMENT,1,36,OWN,50000,B,15200,12.21,0,0.3,N,15,36
30283,EDUCATION,1,39,MORTGAGE,50000,A,8000,7.68,0,0.16,N,14,36
30284,HOMEIMPROVEMENT,3,47,RENT,70000,A,6000,8.49,0,0.09,N,12,60
30285,DEBTCONSOLIDATION,15,44,RENT,70000,A,6000,5.79,0,0.09,N,16,36
30286,VENTURE,4,36,RENT,70000,A,6000,7.29,0,0.09,N,15,60
30287,HOMEIMPROVEMENT,1,39,RENT,70000,A,6000,8.94,0,0.09,N,12,36
30288,EDUCATION,0,40,RENT,71599,A,6000,9.63,0,0.08,N,17,36
30289,DEBTCONSOLIDATION,4,49,MORTGAGE,50000,A,10000,9.07,0,0.2,N,15,36
30290,MEDICAL,5,43,RENT,72000,B,6000,12.42,0,0.08,N,17,36
30291,MEDICAL,3,50,RENT,56100,D,6000,16.49,1,0.09,Y,14,36
30292,PERSONAL,2,43,RENT,72600,A,6000,7.9,0,0.08,N,15,36
30293,DEBTCONSOLIDATION,9,36,MORTGAGE,44000,D,9400,13.3,1,0.21,N,15,36
30294,VENTURE,0,37,RENT,74568,C,6000,14.26,0,0.08,N,17,60
30295,MEDICAL,1,36,MORTGAGE,44004,B,1800,10,1,0.04,N,13,36
30296,MEDICAL,6,39,RENT,60520,D,6000,15.33,1,0.08,Y,15,36
30297,MEDICAL,2,38,RENT,78000,A,6000,6.99,0,0.08,N,15,60
30298,HOMEIMPROVEMENT,3,41,RENT,78000,B,6000,9.63,0,0.08,N,11,60
30299,DEBTCONSOLIDATION,2,37,RENT,79000,B,6000,10,0,0.08,N,16,60
30300,VENTURE,22,47,MORTGAGE,50004,A,8000,11.58,0,0.16,N,15,36
30301,PERSONAL,5,46,MORTGAGE,50004,A,3000,8.59,0,0.06,N,13,36
30302,PERSONAL,17,38,RENT,80000,B,6000,11.83,0,0.07,N,12,60
30303,MEDICAL,0,40,RENT,80000,A,6000,8.94,0,0.07,N,11,60
30304,HOMEIMPROVEMENT,7,36,RENT,80000,C,6000,12.87,0,0.07,N,16,36
30305,MEDICAL,1,48,OTHER,50016,B,10400,11.58,0,0.21,N,11,36
30306,HOMEIMPROVEMENT,19,39,RENT,86000,D,6000,14.84,0,0.07,Y,13,36
30307,PERSONAL,0,37,RENT,86000,A,6000,7.14,0,0.07,N,17,60
30308,HOMEIMPROVEMENT,7,36,MORTGAGE,50400,A,12700,7.29,0,0.25,N,13,36
30309,EDUCATION,4,46,RENT,105000,A,6000,7.14,0,0.06,N,16,36
30310,MEDICAL,5,42,RENT,110000,A,6000,8.9,0,0.05,N,14,36
30311,VENTURE,6,42,RENT,160000,B,6000,10.65,0,0.04,N,17,60
30312,PERSONAL,14,41,MORTGAGE,50780,B,6000,10.99,0,0.12,N,17,36
30313,VENTURE,6,42,OWN,51000,B,18000,9.91,0,0.35,N,13,36
30314,DEBTCONSOLIDATION,5,42,MORTGAGE,51000,A,20000,8.49,0,0.39,N,14,36
30315,PERSONAL,2,36,RENT,25000,B,6200,9.91,1,0.25,N,14,36
30316,MEDICAL,9,40,RENT,44000,A,6200,5.42,0,0.14,N,17,36
30317,PERSONAL,4,43,RENT,33500,C,6225,14.79,0,0.19,N,17,36
30318,MEDICAL,2,45,MORTGAGE,51000,A,7000,7.88,0,0.14,N,12,36
30319,HOMEIMPROVEMENT,3,37,RENT,55000,E,7000,16.32,0,0.13,Y,13,60
30320,HOMEIMPROVEMENT,10,41,MORTGAGE,51000,A,14500,8.94,0,0.28,N,11,36
30321,VENTURE,2,36,MORTGAGE,51000,B,1000,11.83,0,0.02,N,12,36
30322,DEBTCONSOLIDATION,3,37,MORTGAGE,51000,C,12800,12.84,0,0.25,N,12,60
30323,PERSONAL,12,44,RENT,57600,A,7000,7.4,0,0.12,N,11,36
30324,HOMEIMPROVEMENT,2,48,RENT,57996,C,7000,13.61,0,0.12,Y,12,36
30325,HOMEIMPROVEMENT,4,36,MORTGAGE,51000,B,4775,11.14,0,0.09,N,14,36
30326,EDUCATION,12,39,OWN,51000,C,12000,11.34,0,0.24,N,17,60
30327,DEBTCONSOLIDATION,2,36,RENT,52000,C,7000,13.85,1,0.13,N,11,36
30328,EDUCATION,3,45,RENT,54000,C,7000,12.53,1,0.13,N,16,36
30329,HOMEIMPROVEMENT,3,36,RENT,60000,A,7000,7.88,0,0.12,N,12,36
30330,DEBTCONSOLIDATION,17,42,RENT,55392,D,7000,15.95,1,0.13,Y,15,36
30331,VENTURE,7,50,OWN,51500,A,10875,7.49,0,0.21,N,14,60
30332,EDUCATION,5,38,RENT,62000,B,7000,10.62,0,0.11,N,14,36
30333,PERSONAL,16,46,MORTGAGE,51600,A,10000,7.51,0,0.19,N,17,60
30334,VENTURE,2,38,RENT,65000,A,7000,7.88,0,0.11,N,11,36
30335,HOMEIMPROVEMENT,7,36,OWN,51996,B,8500,11.49,0,0.16,N,16,36
30336,HOMEIMPROVEMENT,12,40,RENT,68000,A,7000,7.51,0,0.1,N,11,36
30337,MEDICAL,17,39,RENT,73882,B,7000,9.91,0,0.09,N,13,36
30338,MEDICAL,8,36,MORTGAGE,51996,B,7500,10.51,0,0.14,N,15,36
30339,VENTURE,1,37,MORTGAGE,52000,A,15000,5.79,0,0.29,N,14,60
30340,MEDICAL,12,36,RENT,75000,A,7000,6.92,0,0.09,N,17,36
30341,PERSONAL,6,36,MORTGAGE,46000,C,5350,15.27,1,0.12,N,12,36
30342,VENTURE,20,36,MORTGAGE,52000,A,8325,10.99,0,0.16,N,17,36
30343,DEBTCONSOLIDATION,13,38,MORTGAGE,52000,B,5000,10.99,0,0.1,N,15,36
30344,EDUCATION,0,42,RENT,97600,A,7000,8.9,0,0.07,N,13,60
30345,MEDICAL,4,47,MORTGAGE,52000,A,12000,7.29,0,0.23,N,16,36
30346,DEBTCONSOLIDATION,3,37,MORTGAGE,52000,B,6000,8.88,0,0.12,N,16,36
30347,HOMEIMPROVEMENT,1,43,RENT,175436,A,7000,5.99,0,0.04,N,12,36
30348,PERSONAL,2,37,RENT,14400,A,6950,7.66,1,0.48,N,13,36
30349,PERSONAL,3,38,OWN,52000,D,8000,15.21,0,0.15,N,13,60
30350,DEBTCONSOLIDATION,8,36,MORTGAGE,52000,B,2275,11.86,0,0.04,N,12,60
30351,DEBTCONSOLIDATION,7,40,MORTGAGE,52000,B,15250,11.86,0,0.29,N,12,60
30352,HOMEIMPROVEMENT,2,36,MORTGAGE,52000,A,8000,7.51,0,0.15,N,14,60
30353,MEDICAL,4,37,RENT,21600,A,6500,8.49,0,0.3,N,12,60
30354,DEBTCONSOLIDATION,3,38,MORTGAGE,52000,A,15250,7.88,0,0.29,N,15,36
30355,MEDICAL,3,36,RENT,24000,A,6500,7.29,0,0.27,N,13,60
30356,MEDICAL,2,41,RENT,28800,B,6500,12.69,0,0.23,N,15,60
30357,MEDICAL,6,37,RENT,30000,B,6500,10.37,0,0.22,N,11,60
30358,DEBTCONSOLIDATION,0,41,RENT,30600,B,6500,10.65,0,0.21,N,12,36
30359,VENTURE,1,47,RENT,31400,A,6500,9.32,0,0.21,N,16,36
30360,EDUCATION,11,45,MORTGAGE,52000,A,14000,6.62,0,0.27,N,16,60
30361,VENTURE,2,44,MORTGAGE,52000,A,6000,8.59,0,0.12,N,11,60
30362,VENTURE,8,36,OWN,52000,A,3000,9.63,0,0.06,N,15,36
30363,DEBTCONSOLIDATION,25,41,MORTGAGE,52000,A,1500,8.32,0,0.03,N,14,36
30364,VENTURE,2,47,OWN,52000,B,5000,10.08,0,0.1,N,12,36
30365,MEDICAL,4,39,RENT,42000,C,6500,13.99,0,0.15,Y,14,60
30366,HOMEIMPROVEMENT,14,37,MORTGAGE,52188,A,10000,5.79,0,0.19,N,17,60
30367,PERSONAL,3,40,MORTGAGE,52200,D,4000,12.42,0,0.08,N,15,60
30368,EDUCATION,5,36,RENT,50000,A,6500,11.49,0,0.13,N,15,36
30369,HOMEIMPROVEMENT,14,42,MORTGAGE,52400,B,21000,10.38,0,0.4,N,13,36
30370,PERSONAL,5,39,RENT,52000,B,6500,10.59,0,0.13,N,12,60
30371,EDUCATION,15,39,RENT,53000,A,6500,7.29,0,0.12,N,17,36
30372,EDUCATION,0,38,RENT,55000,C,6500,11.03,0,0.12,Y,12,36
30373,DEBTCONSOLIDATION,0,40,RENT,60000,B,6500,11.11,0,0.11,N,13,60
30374,HOMEIMPROVEMENT,2,36,MORTGAGE,52660,C,15000,13.16,0,0.28,Y,13,60
30375,EDUCATION,3,40,RENT,75000,A,6500,7.9,0,0.09,N,15,60
30376,MEDICAL,20,36,MORTGAGE,46800,A,2800,7.51,1,0.06,N,12,36
30377,MEDICAL,1,46,MORTGAGE,52800,A,2800,6.76,0,0.05,N,14,36
30378,VENTURE,0,37,RENT,26240,B,6600,11.49,0,0.25,N,15,36
30379,VENTURE,20,41,MORTGAGE,53000,C,11000,6.03,0,0.21,Y,14,60
30380,PERSONAL,17,40,RENT,52479,D,6600,14.54,1,0.13,N,13,36
30381,MEDICAL,9,37,RENT,89532,B,6600,12.53,0,0.07,N,12,60
30382,HOMEIMPROVEMENT,0,45,RENT,19368,D,6700,12.92,1,0.35,Y,15,36
30383,DEBTCONSOLIDATION,0,36,MORTGAGE,53000,C,2200,14.35,0,0.04,Y,17,36
30384,PERSONAL,,37,RENT,29000,B,6725,8.88,0,0.23,N,16,36
30385,EDUCATION,4,39,RENT,50760,E,6725,16.45,0,0.13,N,11,36
30386,PERSONAL,0,37,RENT,37500,A,6750,6.91,0,0.18,N,16,36
30387,MEDICAL,2,40,MORTGAGE,53000,B,3000,10.62,0,0.06,N,17,36
30388,MEDICAL,4,36,MORTGAGE,47000,D,4900,14.11,1,0.1,N,11,60
30389,VENTURE,12,42,RENT,21120,B,6400,11.14,0,0.3,N,14,36
30390,DEBTCONSOLIDATION,12,37,MORTGAGE,53532,A,4000,5.42,0,0.07,N,11,60
30391,VENTURE,7,38,MORTGAGE,53712,C,4000,13.43,0,0.07,Y,12,36
30392,PERSONAL,2,39,RENT,31200,B,6400,11.49,0,0.21,N,15,36
30393,VENTURE,4,47,MORTGAGE,53808,B,15000,11.71,0,0.28,N,17,36
30394,VENTURE,0,43,RENT,32000,A,6400,7.49,0,0.2,N,16,36
30395,PERSONAL,,43,RENT,35000,A,6400,8.9,0,0.18,N,14,60
30396,HOMEIMPROVEMENT,23,39,MORTGAGE,54000,B,9000,11.71,0,0.17,N,12,36
30397,HOMEIMPROVEMENT,3,40,MORTGAGE,54000,C,6000,13.49,0,0.11,N,11,36
30398,VENTURE,11,37,RENT,51000,D,6400,16.89,0,0.13,Y,13,60
30399,HOMEIMPROVEMENT,1,48,MORTGAGE,54000,A,2000,5.99,0,0.04,N,16,36
30400,PERSONAL,1,37,RENT,60000,B,6400,9.64,0,0.11,N,12,36
30401,VENTURE,2,39,RENT,76644,A,6400,13.99,0,0.08,N,15,36
30402,HOMEIMPROVEMENT,5,43,RENT,80000,B,6400,11.71,0,0.08,N,11,36
30403,PERSONAL,6,44,RENT,80000,C,6400,13.16,0,0.08,N,11,36
30404,PERSONAL,19,40,MORTGAGE,54000,A,5000,5.42,0,0.09,N,13,36
30405,DEBTCONSOLIDATION,2,41,MORTGAGE,54000,A,6000,6.17,0,0.11,N,14,60
30406,DEBTCONSOLIDATION,3,36,RENT,112455,B,6400,9.99,0,0.06,N,16,36
30407,MEDICAL,23,38,MORTGAGE,48000,D,9000,15.21,1,0.19,Y,15,36
30408,PERSONAL,17,39,MORTGAGE,54000,B,25000,11.49,0,0.46,N,16,36
30409,HOMEIMPROVEMENT,10,37,MORTGAGE,54000,D,8000,9.91,0,0.15,Y,15,36
30410,VENTURE,0,40,RENT,25000,C,7000,5.42,0,0.28,N,15,36
30411,MEDICAL,5,36,MORTGAGE,54000,A,5000,7.9,0,0.09,N,16,36
30412,EDUCATION,3,36,MORTGAGE,48000,C,1500,13.92,1,0.03,Y,13,36
30413,DEBTCONSOLIDATION,1,47,MORTGAGE,54000,B,4000,11.58,0,0.07,N,11,60
30414,VENTURE,17,46,MORTGAGE,54196,B,4500,11.49,0,0.08,N,14,36
30415,MEDICAL,21,37,MORTGAGE,48257,D,7000,15.21,1,0.15,Y,17,36
30416,EDUCATION,0,41,MORTGAGE,54500,A,7700,6.91,0,0.14,N,17,60
30417,VENTURE,6,36,MORTGAGE,54500,A,20500,6.91,0,0.38,N,17,36
30418,MEDICAL,3,39,RENT,32400,B,7000,11.99,0,0.22,N,16,60
30419,VENTURE,21,37,MORTGAGE,54538,B,20000,13.23,0,0.37,N,15,36
30420,HOMEIMPROVEMENT,5,37,MORTGAGE,54996,A,7000,6.92,0,0.13,N,13,60
30421,VENTURE,6,39,OWN,54996,A,5500,7.51,0,0.1,N,11,36
